borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long,lab_total_coliform_CFU_per_100mL,lab_e_coli_CFU_per_100mL
govbh_000,government,20000.0,2407685856410.068,12038429.28205034,-6.207,39.20721808083558,35,0.0
govbh_001,government,20000.0,3403041445441.49,17015207.227207452,-6.192,39.21976746274253,1,0.0
govbh_002,government,20000.0,5657506855919.838,28287534.27959919,-6.185,39.22112024528146,Numerous,1.0
govbh_003,government,20000.0,1151300841882.7402,5756504.209413702,-6.198,39.23492831477639,4,0.0
govbh_004,government,20000.0,9784372501211.705,48921862.50605853,-6.191,39.23855919990718,12,2.0
govbh_005,government,20000.0,2077514054860.671,10387570.274303354,-6.14,39.25848336100449,25,0.0
govbh_006,government,20000.0,359628531437.6508,1798142.6571882542,-6.097,39.24991338822579,1,0.0
govbh_007,government,20000.0,359628531437.6508,1798142.6571882542,-6.097,39.24991338822579,0,0.0
govbh_008,government,20000.0,173361096691.11783,866805.4834555893,-6.043,39.22000219431971,7,0.0
govbh_009,government,20000.0,2911342948117.028,14556714.740585139,-6.079,39.22273030905357,7,0.0
govbh_012,government,20000.0,358090198478.1285,1790450.9923906424,-6.187,39.212615452810745,50,10.0
govbh_013,government,20000.0,1005750293385.2437,5028751.466926219,-6.181,39.20468423767418,30,0.0
govbh_014,government,20000.0,9784372501211.705,48921862.50605853,-6.191,39.23855919990718,3,0.0
govbh_015,government,20000.0,3233649458916.421,16168247.294582104,-6.034,39.234043841514904,Numerous,0.0
govbh_017,government,20000.0,6160146622225.783,30800733.111128915,-6.155,39.230890050132054,0,0.0
govbh_018,government,20000.0,2077514054860.671,10387570.274303354,-6.14,39.25848336100449,26,0.0
govbh_019,government,20000.0,1955183899178.1362,9775919.49589068,-6.221,39.212972468430664,0,0.0
govbh_020,government,20000.0,5869121521144.634,29345607.605723165,-6.215,39.21526631235909,3,0.0
govbh_021,government,20000.0,629052962171.8298,3145264.8108591493,-6.159,39.25057500907302,11,0.0
govbh_023,government,20000.0,6829227996094.11,34146139.98047055,-6.108,39.25215373624819,16,0.0
govbh_025,government,20000.0,180830823775.7046,904154.1188785229,-5.942,39.338682293528656,26,0.0
govbh_026,government,20000.0,2472979464355.585,12364897.321777925,-5.939,39.29900849714256,,
govbh_027,government,20000.0,1945874373941.62,9729371.8697081,-5.764,39.29989387409769,30,15.0
govbh_028,government,20000.0,385921409633.9145,1929607.0481695724,-5.905,39.251307524992434,32,0.0
govbh_029,government,20000.0,330741158453.5244,1653705.792267622,-5.905,39.25123528351306,37,0.0
govbh_030,government,20000.0,332381993688.83923,1661909.968444196,-5.883,39.30479636744616,54,0.0
govbh_031,government,20000.0,2351168537903.2866,11755842.689516433,-5.785,39.303957760929734,13,0.0
govbh_032,government,20000.0,2926294086175.742,14631470.43087871,-5.79,39.30660665559544,50,40.0
govbh_033,government,20000.0,3634729536630.7197,18173647.6831536,-5.903,39.29449942766601,23,0.0
govbh_036,government,20000.0,931180764949.4839,4655903.824747419,-5.909,39.251101565850064,5,0.0
govbh_037,government,20000.0,332381993688.83923,1661909.968444196,-5.883,39.30479636744616,58,4.0
govbh_039,government,20000.0,1536774357330.966,7683871.78665483,-5.961,39.252624892111555,13,0.0
govbh_040,government,20000.0,794216478314.9501,3971082.39157475,-5.986,39.25832897677713,35,0.0
govbh_041,government,20000.0,65873774015.004776,329368.87007502385,-6.014,39.2519988742079,47,0.0
govbh_043,government,20000.0,723590076505.5262,3617950.3825276317,-5.961,39.253130857405445,0,0.0
govbh_044,government,20000.0,356434533244.44904,1782172.6662222452,-5.96,39.303446997262704,24,0.0
govbh_045,government,20000.0,1743469424909.0435,8717347.124545217,-5.979,39.19513138923642,,
govbh_046,government,20000.0,303256429283.4535,1516282.1464172674,-5.972,39.19412582343113,25,0.0
govbh_047,government,20000.0,1934595344841.0051,9672976.724205026,-5.962,39.19101449683485,24,0.0
govbh_053,government,20000.0,1059165395275.1812,5295826.976375906,-6.384,39.47109608587235,2,0.0
govbh_054,government,20000.0,338911657154.0138,1694558.285770069,-6.225,39.324703517177625,53,0.0
govbh_055,government,20000.0,147450861410.40985,737254.3070520492,-6.095,39.31237873808632,24,0.0
govbh_058,government,20000.0,797592010437.1631,3987960.0521858158,-6.131,39.31628620198783,41,0.0
govbh_059,government,20000.0,4098383862375.8105,20491919.311879054,-6.024,39.32654260572543,16,3.0
